log_id,label_x,user_id,age,gender,residence,city,city_rank,series_dev,series_group,emui_dev,device_name,device_size,net_type,task_id,adv_id,creat_type_cd,adv_prim_id,inter_type_cd,slot_id,site_id,spread_app_id,hispace_app_tags,app_second_class,app_score,pt_d,u_refreshTimes_x,u_feedLifeCycle_x,u_userId,u_phonePrice,u_browserLifeCycle,u_browserMode,u_feedLifeCycle_y,u_refreshTimes_y,i_regionEntity,i_cat,i_dislikeTimes,i_upTimes,i_dtype,e_ch,e_m,e_po,e_pl,e_rn,e_section,e_et,label_y,cillabel,pro,ad_click_list_v001_1,ad_click_list_v001_2,ad_click_list_v001_3,ad_click_list_v001_4,ad_click_list_v001_5,ad_click_list_v002_1,ad_click_list_v002_2,ad_click_list_v002_3,ad_click_list_v002_4,ad_click_list_v002_5,ad_click_list_v003_1,ad_click_list_v003_2,ad_click_list_v003_3,ad_click_list_v003_4,ad_click_list_v003_5,ad_close_list_v001_1,ad_close_list_v001_2,ad_close_list_v001_3,ad_close_list_v001_4,ad_close_list_v001_5,ad_close_list_v002_1,ad_close_list_v002_2,ad_close_list_v002_3,ad_close_list_v002_4,ad_close_list_v002_5,ad_close_list_v003_1,ad_close_list_v003_2,ad_close_list_v003_3,ad_close_list_v003_4,ad_close_list_v003_5,u_newsCatInterestsST_x_1,u_newsCatInterestsST_x_2,u_newsCatInterestsST_x_3,u_newsCatInterestsST_x_4,u_newsCatInterestsST_x_5,u_newsCatInterests_1,u_newsCatInterests_2,u_newsCatInterests_3,u_newsCatInterests_4,u_newsCatInterests_5,u_newsCatDislike_1,u_newsCatDislike_2,u_newsCatDislike_3,u_newsCatDislike_4,u_newsCatDislike_5,u_newsCatInterestsST_y_1,u_newsCatInterestsST_y_2,u_newsCatInterestsST_y_3,u_newsCatInterestsST_y_4,u_newsCatInterestsST_y_5,u_click_ca2_news_1,u_click_ca2_news_2,u_click_ca2_news_3,u_click_ca2_news_4,u_click_ca2_news_5
259132,0,278047,8,3,38,200,5,32,3,17,215,1300,4,12218,10699,3,1172,4,56,1,300,52,15,8,-2147483648,8,16,260739,14,16,14,15,2,315,183,1,3,13,19,1152,5,2063,27,0,-2147483648,0,0,3,22520,19418,25244,18444,15488,1684,384,1489,1501,882,320,76,92,14,53,15964,3175,1638,1554,2707,1341,369,442,57,122,125,6,10,22,14,93,161,66,76,59,190,18,164,81,120,3,32,3,3,13,70,160,156,158,131,113,208,155,94,47
985848,0,198000,4,2,29,356,3,21,8,18,164,1161,7,29191,13679,8,1445,4,63,1,275,51,18,9,-2147483648,7,17,163535,14,16,12,16,8,844,151,5,6,10,17,559,10,297,5,0,-2147483648,0,0,27,20028,6080,25483,16817,7685,1429,2023,1533,1939,1660,260,134,265,145,118,20929,14448,2675,4120,2690,1295,335,62,116,362,156,39,56,43,105,178,109,94,185,52,191,208,137,35,109,3,9,11,22,1,148,129,163,170,190,210,59,134,85,136
329477,1,239248,2,3,11,376,2,16,2,15,340,2331,7,16873,23057,10,1771,5,28,2,160,52,16,10,-2147483648,6,16,209864,10,16,13,15,7,791,49,2,2,11,2,835,13,83,8,1,-2147483648,1,0,99,17048,4992,35547,27589,30969,1446,1664,1391,885,2056,370,344,372,334,250,31145,8468,33494,23056,22877,2055,257,333,2057,2077,347,72,248,367,357,106,61,196,66,118,137,203,181,31,217,147,118,73,185,217,41,8,14,57,208,9,7,11,86,90
160871,0,202372,9,2,18,285,5,24,7,16,219,2364,7,12039,14583,9,1134,4,18,1,353,27,27,6,-2147483648,7,15,261359,14,16,14,15,5,1134,27,1,1,13,15,1140,4,2693,24,0,-2147483648,0,0,1,19058,28127,13874,33850,11579,1021,1999,1818,1534,1631,256,201,234,273,206,25905,7062,2041,2060,1015,1008,12,673,1,30,156,15,1,2,3,178,63,171,195,50,141,96,140,154,56,6,93,13,1,0,209,176,189,48,185,16,177,164,209,138
239656,0,173405,6,2,38,206,4,24,5,19,243,1722,6,28804,10234,10,1201,4,19,1,340,40,17,6,-2147483648,7,16,173972,12,16,13,15,2,287,50,6,7,11,19,737,5,2605,14,0,-2147483648,0,0,15,30152,23938,7203,17640,18679,1266,443,1605,1809,201,303,327,179,20,19,24552,667,755,1625,6941,1028,329,295,21,51,184,46,29,2,19,98,45,133,152,105,194,162,18,50,69,4,8,3,9,3,110,49,87,202,52,108,177,51,101,147
752715,1,216663,8,2,26,377,2,25,7,27,110,1355,7,25250,14854,8,1701,3,32,2,242,47,18,9,-2147483648,8,11,188331,13,16,12,13,7,2448,108,9,4,12,16,967,22,1032,29,1,-2147483648,1,0,75,11231,14192,25374,2972,22146,1805,1305,489,803,337,194,82,29,200,206,24193,32551,19428,6340,8743,2061,272,350,1891,2033,297,141,62,371,91,97,14,8,136,38,138,150,109,5,155,93,51,42,170,174,64,113,66,80,124,89,144,12,8,204
591665,0,142341,5,3,33,143,4,32,4,13,150,2111,7,29821,19993,7,1685,5,24,1,194,41,17,9,-2147483648,5,16,166342,11,16,15,16,7,1173,166,1,0,13,18,819,15,300,8,0,-2147483648,0,0,14,14208,24137,5321,27529,26784,1571,1639,1613,1806,1777,270,107,360,156,32,28641,684,879,6767,895,1291,81,9,50,4,150,11,14,12,4,196,34,106,32,171,112,118,87,27,124,11,6,1,4,2,84,108,85,175,85,78,34,56,152,11
276365,0,223675,7,3,34,293,4,12,7,33,247,2344,5,11007,19721,9,1356,4,34,1,303,50,16,7,-2147483648,2,15,279790,13,16,13,14,5,384,178,0,3,11,18,1255,14,620,19,0,-2147483648,0,0,5,27740,26026,5094,11320,18800,1474,1500,1318,1588,1141,206,71,137,20,144,16111,1675,616,4808,4318,1180,164,179,63,31,171,22,45,5,11,37,130,104,97,143,78,154,50,92,115,3,16,14,8,8,110,137,66,188,109,80,112,97,150,92
275814,0,230922,8,3,37,302,2,35,4,19,257,1198,7,34202,21573,6,1622,4,51,1,130,51,13,6,-2147483648,8,17,212558,15,17,13,17,8,372,153,1,6,12,17,47,6,2428,52,0,-2147483648,0,0,6,34578,21302,23931,6916,29202,1787,1824,587,493,124,345,223,100,95,58,20638,1417,8808,8285,11662,1998,269,867,980,707,188,58,34,65,45,138,214,102,197,199,126,92,151,168,172,15,6,41,19,111,144,156,113,187,145,190,173,74,180,34
1118412,1,227876,5,3,18,435,4,28,4,36,194,1031,6,16806,13118,4,1918,4,26,1,133,34,15,9,-2147483648,6,16,260566,15,17,14,11,8,234,197,5,8,11,19,819,6,2583,20,0,-2147483648,0,0,64,28577,11925,17379,21095,9033,1151,1976,822,1341,579,226,147,36,5,5,15508,270,1214,3540,7123,1653,59,51,142,44,156,20,26,273,51,35,176,47,156,174,32,36,177,4,126,11,7,11,97,77,4,104,100,145,16,125,74,50,24,186
1007270,0,212018,8,3,40,335,3,24,5,15,219,1444,5,22501,17224,3,1704,4,38,1,329,29,13,8,-2147483648,8,16,152287,16,16,14,15,7,455,120,1,6,13,18,620,1,2366,5,0,-2147483648,0,0,2,30717,25910,19271,30704,32766,1230,172,1956,170,246,136,128,360,156,59,17955,4694,3480,1172,1539,1025,39,459,65,193,116,8,19,7,95,215,56,93,134,43,189,188,9,136,59,5,13,83,29,2,208,203,161,124,76,209,139,109,197,20
802199,0,265031,3,3,12,359,4,34,3,16,238,2510,3,17946,15993,6,1065,3,39,1,193,28,26,4,-2147483648,5,16,224767,10,17,11,15,9,113,173,2,2,12,15,596,8,1691,18,0,-2147483648,0,0,6,32892,29134,28781,27085,33955,1546,1360,1959,1236,2045,157,176,242,367,352,31003,2462,2196,7542,626,1260,709,928,155,378,182,15,57,9,11,159,98,47,30,207,142,102,215,186,106,15,6,16,34,17,145,40,162,145,78,207,185,180,162,17
301544,0,223463,9,2,19,352,4,18,5,16,223,2064,5,18324,11478,9,1213,4,20,1,334,45,12,7,-2147483648,8,17,160459,12,16,11,16,8,272,160,1,6,11,20,650,2,2635,16,0,-2147483648,0,0,4,22342,29717,9739,25154,34952,1258,1466,1962,1968,1384,217,218,96,259,91,35662,3935,1493,5499,3197,1008,392,707,66,18,262,53,12,6,3,173,50,174,26,33,122,42,92,19,51,2,32,4,37,6,106,184,157,68,55,177,210,125,48,87
335134,0,138515,7,2,23,144,4,27,7,26,166,1496,7,19520,11843,9,1280,4,44,1,348,33,13,8,-2147483648,6,17,184585,15,16,12,16,0,151,20,0,5,13,18,378,6,2396,11,0,-2147483648,0,0,1,22296,14670,8195,2097,5560,1484,829,1952,1706,1228,204,126,154,135,208,19567,2771,6574,2077,7954,1510,317,59,45,82,152,49,15,1,11,49,94,67,180,81,161,87,14,108,116,18,13,7,10,3,131,191,162,122,104,23,193,12,198,110
1040568,0,254876,8,3,28,112,3,24,4,16,231,1832,7,27309,18877,5,2020,4,29,1,195,37,18,7,-2147483648,7,16,265416,12,16,15,16,2,458,130,1,2,11,19,88,7,291,33,1,-2147483648,0,0,29,29433,27248,20166,16883,27151,1808,586,444,930,897,287,74,99,143,113,22985,1128,1075,4744,5027,1415,110,98,888,49,280,22,32,55,6,41,200,119,101,204,181,64,186,183,147,46,27,35,18,21,105,183,172,174,6,113,90,173,206,63
543051,0,192700,6,3,16,236,3,20,3,18,224,1271,5,26558,22531,5,1647,3,25,1,206,28,13,9,-2147483648,7,15,163866,16,15,15,17,3,922,196,2,2,13,15,37,4,1205,9,0,-2147483648,0,0,6,34738,17185,3903,9139,2307,1497,393,41,695,945,128,75,133,227,143,30269,13599,27430,4663,21680,2079,233,323,1683,1766,340,54,113,329,321,111,196,177,93,184,166,55,107,137,185,64,1,207,182,196,168,43,104,75,211,196,101,86,45,60
741772,0,171401,7,3,40,147,4,32,2,13,233,2055,6,24049,19170,8,1817,4,16,1,161,31,15,6,-2147483648,4,15,165447,11,16,15,16,7,45,39,0,3,10,19,1129,7,965,18,1,-2147483648,0,0,3,20856,14825,5380,18601,15903,1267,1126,1464,1851,1823,266,214,327,345,159,17970,272,1380,2953,453,1201,222,20,22,187,180,13,22,55,4,66,55,184,91,72,91,66,27,107,74,21,37,6,113,9,80,29,130,120,186,183,70,57,105,150
421869,0,143465,4,2,14,286,4,24,3,21,115,2380,6,19739,16807,5,1733,4,57,1,189,20,20,8,-2147483648,8,16,168499,13,17,13,17,6,1008,142,5,2,13,3,1117,7,948,3,0,-2147483648,0,0,6,23009,34542,16549,35165,25773,1319,2022,1379,1676,1853,206,46,151,109,216,24518,3499,19906,22771,1869,1219,81,110,7,73,285,47,49,249,97,46,129,185,188,75,164,164,53,131,138,16,15,34,139,6,121,144,104,125,169,125,167,17,198,106
359402,0,141940,6,3,28,186,3,16,6,21,305,2422,6,33887,21805,10,1249,5,49,1,229,22,21,7,-2147483648,6,15,152847,10,16,12,14,4,175,90,0,2,12,9,1202,9,2230,57,0,-2147483648,0,0,8,28376,16264,15086,24421,3724,1076,1154,1851,2009,1985,207,329,330,343,183,16933,846,884,5072,4636,1016,54,478,88,36,269,50,23,8,24,79,189,93,38,181,26,167,53,153,31,16,64,11,7,0,169,136,176,186,106,199,206,89,81,185
1018271,1,120980,4,3,36,283,4,17,4,24,178,1416,7,24021,16374,2,1756,3,62,1,235,30,15,7,-2147483648,8,15,206434,14,15,16,17,9,1241,149,9,3,11,16,710,17,2433,24,0,-2147483648,0,0,80,32269,4150,4434,4404,13842,1182,1096,91,1304,398,233,214,28,305,14,15540,13737,3141,3347,3322,1320,768,133,1610,895,198,42,74,325,185,196,82,114,129,147,153,109,199,31,41,8,20,154,38,107,213,204,188,139,90,46,59,217,118,72
557385,0,142549,8,2,36,270,2,27,7,36,233,1576,7,34125,19065,7,1305,5,16,1,231,29,17,8,-2147483648,8,16,139293,12,16,14,14,3,998,212,1,6,13,20,912,5,1328,28,0,-2147483648,0,0,2,24460,15524,22247,5351,25534,1628,1832,1881,1456,241,312,246,11,169,322,21992,1924,759,2313,5344,1015,437,680,35,13,300,15,87,23,1,98,36,93,138,43,143,202,106,33,65,8,31,20,6,8,114,102,131,33,137,68,114,123,123,103
871303,0,270083,3,3,25,252,3,15,3,21,117,1546,6,30624,13927,5,1848,3,18,1,151,43,19,7,-2147483648,8,17,250350,11,17,11,13,4,563,175,1,1,13,15,652,15,538,4,0,-2147483648,0,0,28,14301,18173,8735,9262,2598,1222,1512,469,822,1924,200,94,218,229,301,24155,1356,5204,697,1890,1018,110,105,355,337,257,8,36,126,22,104,162,166,179,121,90,141,206,11,47,17,15,75,35,24,145,186,169,183,52,158,149,153,58,14
1168069,0,219477,3,2,24,267,5,31,3,34,182,1643,6,20418,18346,2,1989,3,12,1,141,40,12,9,-2147483648,9,16,146577,15,17,11,16,3,207,196,3,9,12,19,592,1,1833,40,1,-2147483648,0,0,41,28203,7748,30376,454,33208,1393,1269,1703,1886,203,345,252,325,106,196,34171,15484,3546,8235,9127,1304,512,219,843,1341,264,46,33,18,76,93,195,16,6,73,93,37,214,144,124,113,47,61,99,65,53,123,154,68,25,186,55,44,149,122
761905,0,251619,7,2,31,224,4,23,5,35,116,2162,4,23639,15954,7,1578,4,63,1,321,43,19,9,-2147483648,7,15,243400,13,16,16,16,5,874,64,3,2,12,12,961,10,270,10,0,-2147483648,0,0,6,10959,18437,16263,31198,24627,1346,1716,1039,1122,1025,275,22,271,318,305,28071,14996,1573,2374,3093,1070,53,142,1052,380,266,118,153,318,9,79,140,126,75,100,93,89,175,115,162,8,23,23,49,17,204,109,134,56,39,124,173,111,193,216
212509,0,267734,8,2,18,233,3,22,2,19,219,1529,7,28583,14383,9,1100,3,58,2,299,39,12,8,-2147483648,7,17,220257,15,17,14,14,6,32,73,0,4,12,14,66,7,1471,39,0,-2147483648,0,0,0,24958,9801,34059,24409,33032,1269,1949,1822,1251,1782,290,160,253,303,222,23607,2501,1076,3649,1713,1037,995,740,38,425,183,38,67,1,2,78,81,207,135,33,105,35,69,204,100,25,72,27,7,1,51,19,146,93,202,217,219,83,161,197
486490,0,272357,4,2,21,294,3,22,3,29,139,2441,5,18568,17303,10,1326,5,51,2,155,48,17,9,-2147483648,5,16,202606,12,17,14,14,5,72,91,0,3,11,20,1289,6,455,22,1,-2147483648,0,0,0,19829,26106,27610,9938,16047,1225,1947,2017,1311,1996,251,264,256,142,84,19037,4035,1062,2880,16130,1179,527,183,43,448,197,62,19,0,2,131,88,158,140,76,106,116,72,122,77,12,70,12,21,1,149,41,56,188,14,184,186,55,127,101
1123844,0,131280,5,2,35,345,4,12,7,33,134,1693,6,31328,12911,8,1294,4,17,1,328,18,18,8,-2147483648,3,16,150567,14,16,11,16,4,371,192,3,9,13,16,1001,2,2764,10,0,-2147483648,0,0,61,20643,31900,23959,8415,23307,1178,988,2041,1975,160,207,133,186,54,14,32018,850,467,2004,2872,1012,222,84,26,20,113,26,10,1,34,73,23,95,99,71,139,28,99,8,108,11,33,9,58,1,162,147,97,104,59,104,206,76,132,85
67401,0,146467,2,2,32,229,4,34,2,27,240,2099,4,31132,13482,10,1813,4,28,1,315,24,15,9,-2147483648,7,16,112948,11,16,10,16,1,209,99,2,7,11,19,125,12,1454,13,1,-2147483648,0,0,6,33482,34176,13387,12301,36129,1131,1555,1736,298,1557,351,306,184,56,52,11395,190,846,661,1355,1212,40,154,94,855,194,11,12,204,7,46,22,192,92,96,203,10,102,74,110,7,5,25,80,149,38,47,12,15,51,104,27,27,52,208
632563,0,127091,3,3,31,406,3,33,2,12,255,1579,6,26166,19081,2,1566,4,22,1,196,13,17,6,-2147483648,7,16,162445,15,17,17,16,7,1151,162,1,7,12,19,260,2,1126,2,0,-2147483648,0,0,34,27008,15195,11002,33697,16899,1185,1317,1819,1914,1781,142,67,189,315,219,24775,3673,4117,395,4857,1393,140,345,274,251,194,30,76,22,69,103,201,61,197,160,138,140,187,193,9,70,9,122,16,11,160,17,198,167,95,209,73,140,144,144
520276,0,244351,4,3,41,182,5,27,3,19,118,2225,7,15177,13843,5,1466,4,67,1,261,38,22,7,-2147483648,9,16,211445,11,17,14,16,8,264,47,0,1,14,20,818,6,2193,10,0,-2147483648,0,0,15,23294,22916,13806,25499,2511,1401,712,1755,1140,1235,209,212,165,41,54,20882,1643,8321,6312,408,1256,156,488,15,15,245,3,10,15,11,60,142,61,166,126,127,91,67,56,42,3,10,6,12,5,173,25,104,182,81,136,163,131,39,26
219616,0,206939,7,3,21,125,4,25,5,21,187,2522,6,15081,18644,10,1253,4,59,1,329,27,24,9,-2147483648,9,16,239764,15,17,14,17,8,91,84,2,4,13,19,1336,18,1948,10,1,-2147483648,0,0,8,19536,29568,30925,27200,11917,1143,1685,2043,1886,1794,192,272,317,202,59,20354,1707,379,1681,2328,1242,85,195,69,133,138,21,30,24,4,104,110,106,189,193,68,67,91,113,135,8,47,7,4,1,107,171,125,199,95,37,210,49,63,100
1135565,1,140697,3,3,14,336,3,22,2,30,148,1557,5,32746,20835,5,1987,3,63,1,130,14,28,9,-2147483648,4,11,159287,11,17,15,17,7,2696,172,7,7,12,7,423,24,170,57,1,-2147483648,1,0,89,23804,12469,2076,5806,6445,1633,1810,25,733,234,319,147,6,40,1,33456,23596,8183,13057,14607,2073,425,286,1878,2073,333,281,201,369,337,39,190,98,22,189,208,15,214,145,216,217,22,215,136,201,214,93,33,34,98,24,200,14,144,155
480075,0,181393,4,3,18,243,5,13,6,31,321,1580,5,13659,12523,10,1299,4,16,1,296,22,15,8,-2147483648,8,15,223243,10,15,10,16,8,584,110,2,4,11,16,964,14,1261,23,0,-2147483648,0,0,72,24443,22883,29061,34667,35143,1121,1399,1941,1939,1973,181,319,300,253,350,32302,4336,1034,1470,2556,1065,350,732,124,21,175,16,27,18,16,37,182,207,24,80,167,26,34,81,170,29,3,2,10,5,162,182,95,110,47,163,125,174,33,53
159167,0,158868,6,2,20,280,4,14,6,31,334,2464,7,20758,15579,10,1939,4,19,1,348,33,14,8,-2147483648,7,14,195798,12,16,12,16,7,202,26,6,5,12,16,557,15,388,13,0,-2147483648,0,0,17,15073,31732,34252,9736,23881,1927,684,1825,1378,1498,122,240,358,265,293,32533,9379,3858,6641,12677,1786,465,235,340,336,229,32,50,28,19,74,42,150,51,37,12,53,181,196,146,62,21,4,7,28,158,126,52,53,20,119,83,14,38,103
384176,0,250765,4,2,33,161,4,35,5,32,130,1623,4,13461,22737,3,1609,3,41,1,273,35,25,9,-2147483648,6,16,226456,13,17,15,15,8,705,167,1,5,10,11,863,15,1303,16,1,-2147483648,0,0,5,22563,29419,17018,6954,10426,1441,1337,1532,596,600,160,120,271,33,31,33992,5274,448,7562,1466,1400,98,108,90,56,126,41,20,29,8,78,175,41,138,106,37,64,175,99,53,31,77,11,23,7,53,75,80,73,147,110,142,40,182,66
449203,0,283734,7,4,19,227,2,18,4,12,240,2456,7,35178,15384,10,1038,5,29,1,160,51,17,9,-2147483648,9,17,283916,10,17,12,13,9,112,189,0,1,12,19,217,5,547,12,0,-2147483648,0,0,1,14924,22259,19957,16220,20393,1989,1303,1652,1560,2003,260,231,353,309,208,29928,4083,11842,3907,10592,1285,1233,246,156,258,215,71,48,5,23,215,153,87,104,206,181,102,96,117,170,16,15,6,7,6,151,127,92,170,146,186,103,219,35,90
34964,0,115809,8,2,11,284,4,17,2,23,220,2444,5,35200,16290,9,1673,3,64,1,270,16,23,9,-2147483648,9,17,114756,10,16,12,17,8,1934,10,0,5,14,15,829,4,402,17,0,-2147483648,1,0,58,32452,15336,31420,17856,35249,1081,2062,1015,1396,2073,315,270,361,141,104,27561,7768,34125,15482,5935,1969,447,326,1740,2047,283,171,260,342,50,218,44,114,89,199,94,5,195,207,145,64,34,85,186,94,129,20,133,28,36,16,128,15,175,188
553253,0,252902,2,3,13,380,3,30,3,12,186,1868,6,26340,12703,5,1491,3,65,1,320,31,29,7,-2147483648,6,17,269482,13,17,16,17,3,103,77,1,1,13,19,585,2,798,2,0,-2147483648,0,0,2,31418,15003,16406,22128,15040,1327,1584,1491,2027,1353,302,82,184,167,223,27463,572,1410,1179,2651,1213,79,128,25,36,134,19,6,4,5,38,203,73,197,173,168,191,120,161,80,3,14,55,4,7,108,54,78,150,115,85,186,112,32,158
950968,0,184918,4,3,41,353,5,24,4,33,348,1245,6,28638,17724,5,1681,4,15,1,326,37,23,9,-2147483648,7,14,180422,10,16,13,15,8,1407,40,8,5,10,11,943,11,2426,9,1,-2147483648,1,0,91,30370,6125,25134,9397,19281,1762,575,75,1550,424,320,358,208,336,334,34417,4413,10272,16760,3914,1648,530,935,1463,368,205,201,115,226,200,6,184,196,105,198,29,47,90,108,144,167,96,174,36,115,26,73,73,27,61,107,13,47,70,117
351564,0,108892,8,2,31,184,2,26,4,13,194,1392,5,24480,12037,2,1845,3,42,1,182,13,24,6,-2147483648,9,16,101590,13,17,11,17,9,1482,32,2,7,11,8,356,5,2140,8,0,-2147483648,0,0,49,33563,21298,20892,31194,34013,1124,1761,1828,2043,2005,297,293,282,285,192,24649,17512,17610,7117,17687,1556,867,1416,131,788,143,90,71,223,337,27,55,89,172,158,38,27,111,122,13,25,99,114,188,82,84,60,124,23,56,139,92,57,110,107
